https://www.namauto.com/cars/10257532-ford-figo-1.5-ambiente/,"N$ 121,000",Ford,Figo,1.5 AMBIENTE,MASTERCARS,1,N/A,White,black,white,4,Petrol,Sedan,"52,000 km",1.5 l,Manual
https://www.namauto.com/cars/10252144-chevrolet-utility-1.4/,"N$ 122,500",Chevrolet,UTILITY,1.4,MASTERCARS,1,N/A,White,gray,white,2,Petrol,Bakkie Single Cab,"55,800 km",1.4 l,Manual
https://www.namauto.com/cars/9503919-volkswagen-t5-kombi-1.9-tdi/,"N$ 124,500",Volkswagen,T5 KOMBI,1.9 TDI,USED,1,N/A,Silver,N/A,silver,5,Diesel,MINIBUS,"233,000 km",1.9 l,Manual
https://www.namauto.com/cars/10246084-volkswagen-polo-polo-vivo-1.6-trend/,"N$ 129,900",Volkswagen,Polo,POLO VIVO 1.6 TREND,10UCA14641,1,N/A,White,N/A,white,5,N/A,Hatchback,"60,000 km",1.6 l,N/A
https://www.namauto.com/cars/10210223-great-wall-2.4-hover-4-x4/,POA,Great Wall,2.4,HOVER 4X4,PREOWNED,1,N/A,Blue,Black,Dark - Blue,5,Petrol,SUV,"57,000 km",2.4 l,Manual
https://www.namauto.com/cars/10305802-toyota-etios-1.5-sprint/,"N$ 134,900",Toyota,ETIOS,1.5 Sprint,USED,1,N/A,Silver,black,Silver,5,Petrol,Hatchback,"20,000 km",1.5 l,Manual
https://www.namauto.com/cars/10359290-nissan-np200-1.6i-aircon/,"N$ 134,900",Nissan,NP200,1.6i (aircon),NP20049,1,N/A,White,Black,white,2,Petrol,Bakkie Single Cab,"49,000 km",1.6 l,Manual
https://www.namauto.com/cars/10326975-lexus-lx-430/,"N$ 135,000",Lexus,LX,430,USED,1,N/A,White,Grey,White,5,Petrol,SUV,"215,000 km",5.7 l,Automatic
https://www.namauto.com/cars/10123426-chevrolet-utility-1.4-a-c-p-u-s-c/,"N$ 139,700",Chevrolet,UTILITY,1.4 A/C P/U S/C,N101880W,1,N/A,White,Grey,White,2,Petrol,Bakkie Single Cab,"28,922 km",1.4 l,Manual
https://www.namauto.com/cars/9025301-nissan-hardbody-np300-2.4i-4-x4/,"N$ 139,900",Nissan,HARDBODY,NP300 2.4i 4X4,2012,1,N/A,White,Black,White,4,Petrol,Bakkie Double Cab,"176,962 km",2.4 l,Manual
https://www.namauto.com/cars/10034541-ford-figo-1.5-ambiente-5-dr/,"N$ 140,000",Ford,Figo,1.5 AMBIENTE (5DR),20FDW02616,1,N/A,Blue,N/A,BLUE,5,Petrol,Hatchback,"32,000 km",1.5 l,Manual
https://www.namauto.com/cars/9515503-volkswagen-polo-1.6-tdi-cross/,"N$ 143,500",Volkswagen,Polo,1.6 TDI CROSS,USED,1,N/A,Orange,N/A,orange,5,Diesel,Hatchback,"109,000 km",1.6 l,Manual
https://www.namauto.com/cars/10074565-ford-fiesta-1.4-ambiente-5-dr/,"N$ 144,900",Ford,Fiesta,1.4 AMBIENTE 5Dr,USED,1,N/A,White,Black,White,5,Petrol,Hatchback,"51,000 km",1.4 l,Manual
https://www.namauto.com/cars/10258020-toyota-etios-1.5-sprint-hatchback/,"N$ 144,900",Toyota,ETIOS,1.5 Sprint Hatchback,USED,1,N/A,Silver,Black,Silver,5,Petrol,Hatchback,"45,000 km",1.5 l,Manual
https://www.namauto.com/cars/10065569-volkswagen-polo-vivo-1.6-maxx-5-dr/,"N$ 145,900",Volkswagen,POLO VIVO,1.6 MAXX 5DR,10UCA,1,N/A,White,N/A,white,5,Petrol,Hatchback,"57,000 km",1.6 l,Manual
https://www.namauto.com/cars/9775365-volkswagen-polo-vivo-1.4-trendline-5-dr-facelift/,"N$ 146,000",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR) (Facelift),USED,1,N/A,Silver,Grey,Silver,5,Petrol,Hatchback,"45,000 km",1.4 l,Manual
https://www.namauto.com/cars/9775463-volkswagen-polo-vivo-1.4-trendline-5-dr-facelift/,"N$ 146,000",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR) (Facelift),USED,1,N/A,Grey,Grey,Grey,5,Petrol,Hatchback,"43,000 km",1.4 l,Manual
https://www.namauto.com/cars/9727747-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 148,000",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR),MASTERCARS,2,N/A,White,Grey,white,5,Petrol,Hatchback,"75,000 km",1.4 l,Manual
https://www.namauto.com/cars/10252209-volkswagen-polo-vivo-gp-1.4-street-5-dr/,"N$ 148,800",Volkswagen,POLO VIVO,GP 1.4 STREET 5DR,MASTERCARS,1,N/A,Black,gray,black,5,Petrol,Hatchback,"69,500 km",1.4 l,Manual
https://www.namauto.com/cars/9876569-volkswagen-polo-vivo-gp-1.4-trendline-tip/,"N$ 149,700",Volkswagen,POLO VIVO,GP 1.4 TRENDLINE TIP,N168190W,N/A,N/A,Beige,N/A,BEIGE,4,Petrol,Sedan,"68,075 km",1.4 l,Automatic
https://www.namauto.com/cars/9307562-ford-tourneo-connect-1.0-amb/,"N$ 149,900",Ford,Tourneo,CONNECT 1.0 AMB,USED,2,N/A,White,Black,White,5,Petrol,MPV,"93,000 km",1 l,Manual
https://www.namauto.com/cars/9685008-volkswagen-polo-gp-1.2-tsi-trendline-66-kw/,"N$ 149,900",Volkswagen,Polo,GP 1.2 TSI TRENDLINE (66KW),12TSI15101,1,N/A,White,Black and Grey,white,5,Petrol,Hatchback,"101,000 km",1.2 l,Manual
https://www.namauto.com/cars/9901393-ford-focus-1.6-ti-vct-ambiente/,"N$ 149,900",Ford,Focus,1.6 Ti VCT AMBIENTE,10UCA47426,1,N/A,White,N/A,white,4,Petrol,Sedan,"53,000 km",1.6 l,Manual
https://www.namauto.com/cars/9913650-toyota-yaris-1.3-xs-5-dr/,"N$ 149,900",Toyota,Yaris,1.3 XS 5Dr,PREOWNED,1,N/A,Red,Grey,RED,5,Petrol,Hatchback,"62,000 km",1.3 l,Manual
https://www.namauto.com/cars/10093653-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 149,900",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR),PREOWNED,1,N/A,Beige,Grey,Beige,5,Petrol,Hatchback,"53,000 km",1.4 l,Manual
https://www.namauto.com/cars/10169559-honda-brio-1.2-comfort-5-dr/,"N$ 149,900",Honda,BRIO,1.2 COMFORT 5DR,PREOWNED,1,N/A,White,Black,White,5,Petrol,Hatchback,"13,000 km",1.2 l,Automatic
https://www.namauto.com/cars/10246091-ford-figo-1.5-trend-5-dr/,"N$ 149,900",Ford,Figo,1.5 TREND (5DR),10UCA42339,N/A,N/A,White,N/A,white,5,Petrol,Hatchback,"40,000 km",1.5 l,Manual
https://www.namauto.com/cars/10246122-renault-duster-1.5-d-ci-dynamique/,"N$ 149,900",Renault,Duster,1.5 dCI DYNAMIQUE,10UCA01458,N/A,N/A,Silver,N/A,silver,5,Diesel,SUV,"76,000 km",1.5 l,Manual
https://www.namauto.com/cars/10246154-ford-fiesta-1.4-ambiente-dr-5/,"N$ 149,900",Ford,Fiesta,1.4 AMBIENTE Dr 5,USED,1,N/A,White,black,white,5,Petrol,Hatchback,"46,000 km",1.4 l,Manual
https://www.namauto.com/cars/10254674-volkswagen-polo-vivo-gp-1.4-trendline/,"N$ 149,900",Volkswagen,POLO VIVO,GP 1.4 TRENDLINE,PREOWNED,1,N/A,White,Grey,White,4,Petrol,Sedan,"24,000 km",1.4 l,Manual
https://www.namauto.com/cars/10254986-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 149,900",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR),USED,1,N/A,Silver,Black,Silver,5,Petrol,Hatchback,"44,000 km",1.4 l,Manual
https://www.namauto.com/cars/10305826-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 149,900",Volkswagen,POLO VIVO,1.4 TRENDLINE (5DR),USED,1,N/A,Silver,black,Silver,5,Petrol,Hatchback,"44,000 km",1.4 l,Manual
https://www.namauto.com/cars/10326905-toyota-etios-1.5-xs/,"N$ 149,900",Toyota,ETIOS,1.5 Xs,USED,1,N/A,White,Black,White,4,Petrol,Sedan,"41,000 km",1.5 l,Manual
https://www.namauto.com/cars/9723099-toyota-corolla-quest-1.6/,"N$ 154,900",Toyota,Corolla,QUEST 1.6,USED,2,N/A,Silver,Grey,Silver,4,Petrol,Sedan,"50,000 km",1.6 l,Manual
https://www.namauto.com/cars/9723389-toyota-corolla-quest-1.6/,"N$ 154,900",Toyota,Corolla,QUEST 1.6,USED,2,N/A,White,Grey,White,4,Petrol,Sedan,"45,000 km",1.6 l,Manual
https://www.namauto.com/cars/10201150-toyota-corolla-quest-1.6/,"N$ 154,900",Toyota,Corolla Quest,1.6,USED,1,N/A,Bronze,Black,Bronze,4,Petrol,Sedan,"54,000 km",1.6 l,Manual
https://www.namauto.com/cars/10124468-volkswagen-polo-1.6-comfortline/,"N$ 155,000",Volkswagen,Polo,1.6 COMFORTLINE,PREOWNED,1,N/A,White,Grey,White,4,Petrol,Sedan,"102,000 km",1.6 l,Manual
https://www.namauto.com/cars/10113943-toyota-corolla-quest-1.6/,"N$ 159,000",Toyota,Corolla Quest,1.6,USED,1,N/A,Bronze,Grey,Bronze,4,Petrol,Sedan,"40,000 km",1.6 l,Manual
https://www.namauto.com/cars/10352429-ford-figo-1.5-ambiente-5-dr/,"N$ 159,900",Ford,Figo,1.5 AMBIENTE (5DR),10UCA60518,N/A,N/A,White,N/A,white,5,Petrol,Hatchback,"26,500 km",1.5 l,Manual
https://www.namauto.com/cars/9876575-ford-fiesta-1.0-ecoboost-trend-5-dr/,"N$ 162,700",Ford,Fiesta,1.0 ECOBOOST TREND 5DR,12345,N/A,N/A,N/A,N/A,N/A,5,Petrol,Hatchback,"61,650 km",1 l,Manual
https://www.namauto.com/cars/9723317-toyota-corolla-quest-1.6-a-t/,"N$ 164,900",Toyota,Corolla,QUEST 1.6 A\T,USED,2,N/A,Silver,Grey,Silver,4,Petrol,Sedan,"45,000 km",1.6 l,Automatic
https://www.namauto.com/cars/10254501-nissan-juke-1.6-dig-t-tekna/,"N$ 164,900",Nissan,Juke,1.6 DIG-T TEKNA,USED,N/A,N/A,Purple,Black,Purple,5,Petrol,Hatchback,"102,000 km",1.6 l,Manual
https://www.namauto.com/cars/10225141-nissan-np300-hardbody-hardbody-np300-2.5-tdi-4-x4-p-u-d-c/,"N$ 165,000",Nissan,NP300 Hardbody,HARDBODY NP300 2.5 TDI 4X4 P/U D/C,PREOWNED,1,N/A,White,Grey,White,4,Diesel,Bakkie Double Cab,"118,100 km",2.5 l,Manual
https://www.namauto.com/cars/8686588-nissan-sentra-1.6-acenta-1.6-petrol-manual/,"N$ 169,900",Nissan,Sentra 1.6 Acenta,1.6 Petrol Manual,PREOWNED,1,N/A,White,Black,White,4,Petrol,Sedan,"71,500 km",1.6 l,Manual
https://www.namauto.com/cars/9839913-ford-figo-1.5-ambiente-5-dr/,"N$ 169,900",Ford,Figo,1.5 AMBIENTE (5DR),20FDW63062,1,N/A,Silver,BLACK,SILVER,5,Petrol,Hatchback,"6,500 km",1.5 l,Manual
https://www.namauto.com/cars/9861669-nissan-qashqai-1.6-visia/,"N$ 169,900",Nissan,Qashqai,1.6 VISIA,QASHVIS169,1,N/A,Grey,Black and Grey,grey,5,Petrol,SUV,"91,000 km",1.6 l,Manual
https://www.namauto.com/cars/10065572-ford-eco-sport-1.5-tdci-ambiente/,"N$ 169,900",Ford,EcoSport,1.5TDCI AMBIENTE,10UCA68260,1,N/A,Silver,N/A,silver,5,Diesel,cross-over,"79,800 km",1.5 l,Manual
https://www.namauto.com/cars/10067714-ford-focus-2.0-gtdi-st1-5-dr/,"N$ 169,900",Ford,Focus,2.0 GTDi ST1 (5DR),USED,1,N/A,White,N/A,white,5,Petrol,Hatchback,"115,000 km",2 l,Manual
https://www.namauto.com/cars/10169418-volkswagen-polo-vivo-1.4-trendline-5-dr/,"N$ 169,900",Volkswagen,POLO VIVO,1.4 TRENDLINE 5Dr,PREOWNED,1,N/A,Silver,Grey,Silver,5,Petrol,Hatchback,"45,000 km",1.4 l,Manual
https://www.namauto.com/cars/10222563-datsun-go-1.2-lux/,"N$ 170,000",Datsun,GO,1.2 LUX,NEWDATSUN,N/A,N/A,Silver,Grey,Silver,5,Petrol,Hatchback,20 km,1.2 l,Manual
https://www.namauto.com/cars/9824841-nissan-x-trail-2.0-d-ci-xe-4x2/,"N$ 174,900",Nissan,X TRAIL,2.0 dCi XE 4x2,USED,1,N/A,Silver,Black,Silver,5,Diesel,SUV,"122,000 km",2 l,Manual
https://www.namauto.com/cars/9223419-mitsubishi-asx-asx-2.0-gl-auto/,"N$ 176,000",Mitsubishi,ASX,ASX 2.0 GL auto,USED,1,N/A,White,N/A,white,5,Petrol,SUV,"121,000 km",2 l,Automatic
https://www.namauto.com/cars/9754096-mazda-3-1.6-active/,"N$ 179,900",Mazda,3,1.6 ACTIVE,10UCA39842,1,N/A,Silver,Grey,Silver,4,Petrol,Sedan,"53,000 km",1.6 l,Manual
https://www.namauto.com/cars/10170796-volkswagen-polo-1.6-comfortline/,"N$ 179,900",Volkswagen,Polo,1.6 COMFORTLINE,USED,1,N/A,White,Black,White,4,Petrol,Sedan,"105,000 km",1.6 l,Manual
https://www.namauto.com/cars/10326891-bmw-5-series-523i-a-t-f40/,"N$ 179,900",BMW,5 Series,523i A/T (F40),USED,1,N/A,White,Black,White,4,Petrol,Sedan,"141,000 km",2.5 l,Automatic
https://www.namauto.com/cars/10286364-volkswagen-polo-1.4-comfortline/,"N$ 183,500",Volkswagen,Polo,1.4 COMFORTLINE,MASTERCARS,1,N/A,White,black,white,4,Petrol,Sedan,"24,700 km",1.4 l,Manual
https://www.namauto.com/cars/10067461-nissan-hardbody-np300-2.5-tdi-4-x4-k06/,"N$ 184,900",Nissan,HARDBODY,NP300 2.5 TDI 4X4 (K06,USED,1,N/A,White,N/A,white,2,Diesel,Bakkie Single Cab,"99,000 km",2.5 l,Manual
https://www.namauto.com/cars/10314843-suzuki-sx4-1.6-glx-allgrip-awd/,"N$ 184,900",Suzuki,SX4,1.6 GLX ALLGRIP (AWD),USED,1,N/A,Black,Black,Pearl Black,5,Petrol,SUV,"81,000 km",1.6 l,Manual
https://www.namauto.com/cars/10356960-toyota-corolla-1.6-esteem/,"N$ 185,000",Toyota,Corolla,1.6 ESTEEM,PREOWNED,1,N/A,Blue,Grey,Blue,4,Petrol,Sedan,"88,000 km",1.6 l,Manual
https://www.namauto.com/cars/9290557-nissan-navara-2.5-d-ci-le/,"N$ 186,000",Nissan,Navara,2.5 dCi LE,USED,2,N/A,Silver,N/A,silver,4,Diesel,Bakkie Double Cab,"117,000 km",2.5 l,Manual
https://www.namauto.com/cars/10239877-fiat-500-l-1.6-mjet-lounge-5-dr/,"N$ 188,000",Fiat,500,L 1.6 MJET LOUNGE 5DR,USED,1,20.0 KPL,Blue,Grey,Bashment Blue,5,Diesel,Hatchback,"59,000 km",1.6 l,Manual
https://www.namauto.com/cars/9770266-ford-eco-sport-1.0-ecoboost-trend/,"N$ 189,900",Ford,EcoSport,1.0 ECOBOOST TREND,10UCA29104,1,N/A,White,N/A,white,5,Petrol,cross-over,"100,000 km",1 l,Manual
https://www.namauto.com/cars/9770579-toyota-auris-1.6-xr/,"N$ 189,900",Toyota,Auris,1.6 XR,10UCA02891,N/A,N/A,White,N/A,white,5,Petrol,Hatchback,"78,000 km",1.6 l,Manual
https://www.namauto.com/cars/9890108-ford-eco-sport-1.0-ecoboost-titanium/,"N$ 189,900",Ford,EcoSport,1.0 ECOBOOST TITANIUM,10UCA73216,1,N/A,Blue,BLACK,BLUE,5,Petrol,SUV,"79,373 km",1 l,Manual
https://www.namauto.com/cars/10114748-ford-eco-sport-1.0-ecoboost-titanium/,"N$ 189,900",Ford,EcoSport,1.0 ECOBOOST TITANIUM,20UCA73216,1,N/A,Blue,N/A,BLUE,5,Petrol,SUV,"79,373 km",1 l,Manual
https://www.namauto.com/cars/10201212-gwm-steed-5-2.4-xcape-d-c/,"N$ 189,900",GWM,Steed 5,2.4 Xcape D/C,USED,1,N/A,White,Black,White,N/A,Petrol,Bakkie Single Cab,"43,000 km",N/A,Manual
https://www.namauto.com/cars/10246070-hyundai-ix35-2.0-premium/,"N$ 189,900",Hyundai,ix35,2.0 PREMIUM,10UCA94252,1,N/A,Silver,N/A,silver,5,Petrol,SUV,"95,500 km",2 l,Manual
https://www.namauto.com/cars/9101867-nissan-hardbody-np300-2.4i-4-x4/,"N$ 192,500",Nissan,HARDBODY,NP300 2.4i 4X4,USED,1,N/A,White,N/A,white,4,Petrol,Bakkie Double Cab,"84,000 km",2.4 l,Manual
https://www.namauto.com/cars/10249257-volkswagen-polo-1.0-tsi-comfortline/,"N$ 195,000",Volkswagen,Polo,1.0 TSI COMFORTLINE,USED,1,N/A,Silver,Grey,Silver,5,Petrol,Hatchback,"40,000 km",1 l,Manual
https://www.namauto.com/cars/9952639-volkswagen-polo-gp-1.2-tsi-highline-81-kw/,"N$ 198,500",Volkswagen,Polo,GP 1.2 TSI HIGHLINE (81KW),PREOWNED,1,N/A,White,Black,White,5,Petrol,Hatchback,"99,500 km",1.2 l,Manual
https://www.namauto.com/cars/10114730-toyota-land-cruiser-100-vx-v8-cygnus-automatic/,"N$ 199,900",Toyota,Land Cruiser,100 VX V8 Cygnus Automatic,CYGNUS99,2,N/A,White,Beigh,Pearl White,5,N/A,Station Wagon,"234,000 km",4.7 l,N/A
full_url,price
full_url,price
full_url,price
full_url,price
